data__locator_id,data__facility_name,data__city,data__state,data__tie_facility,data__artcc_id
0AA4,FAREWELL ARPT,FAREWELL,ALASKA,ENA,ZAN
0AA5,RANGEVIEW AIRSTRIP ARPT,TRAPPER CREEK,ALASKA,ENA,ZAN
0AA6,BIG SALMON HELIPORT,HAINES,ALASKA,JNU,ZAN
0AA7,KALIFONSKY MEADOWS ARPT,KENAI,ALASKA,ENA,ZAN
0AK,PILOT STATION ARPT,PILOT STATION,ALASKA,ENA,ZAN
0AK0,SCOTTS ARPT,NORTH POLE,ALASKA,FAI,ZAN
0AK1,ANDERSON LAKE ARPT,WASILLA,ALASKA,ENA,ZAN
0AK2,YENTNA BEND STRIP ARPT,WILLOW,ALASKA,ENA,ZAN
0AK3,PARKER LAKE ARPT,MONTANA CREEK,ALASKA,ENA,ZAN
0AK4,ARPT,NUIQSUT,ALASKA,null,null
0AK5,ARTCC,MAY CREEK,ALASKA,null,null
0AK5,YOUNG CREEK ARPT,MAY CREEK,ALASKA,ENA,ZAN
0AK6,VICTORY ARPT,VICTORY BIBLE CAMP,ALASKA,ENA,ZAN
0AK7,BRADLEY LAKE HYDROELECTRIC PROJECT AIRSTRIP ARPT,HOMER,ALASKA,ENA,ZAN
0AK8,FIREWEED ARPT,MCCARTHY,ALASKA,ENA,ZAN
0AK9,FALCON LAKE STRIP ARPT,POINT MACKENZIE,ALASKA,ENA,ZAN
0AL,ELKWOOD AIRPARK BASE OPS,HAZEL GREEN,ALABAMA,0AL,null
0AL1,RESORT ARPT,FOLEY,ALABAMA,ANB,ZJX
0AL2,CLAY COUNTY HOSPITAL HELIPORT,ASHLAND,ALABAMA,ANB,ZTL
0AL3,HOSPITAL PAD HELIPORT,EVERGREEN,ALABAMA,ANB,ZJX
0AL4,DEKALB RGNL MEDICAL CENTER HELIPORT,FORT PAYNE,ALABAMA,ANB,ZTL
0AL5,FLOMATON ARPT,FLOMATON,ALABAMA,ANB,ZJX
0AL6,D W MCMILLIAN MEML HOSPITAL HELIPORT,BREWTON,ALABAMA,ANB,ZJX
0AL7,GADSDEN REGL MEDICAL CENTER HELIPORT,GADSDEN,ALABAMA,ANB,ZTL
